inst_coed,inst,major_code,major,min_scroe
0286,东南大学,0D,电子信息类(信息工程、电子科学与技术、海洋信息工程),652
0286,东南大学,0E,计算机类(计算机科学与技术、人工智能、网络空间安全、软件工程),652
0384,厦门大学,12,会计学(含会计学、财务管理、审计学),652
0486,武汉大学,B5,化学类(含化学国家拔尖学生培养基地)(化学、应用化学),652
0486,武汉大学,D3,金融学类(弘毅学堂数理经济与数理金融试验班)(经济学、金融学),652
0614,电子科技大学,B7,计算机科学与技术(互联网交叉复合型精英人才双学位培养计划),652
8213,哈尔滨工业大学(深圳),05,电气类(电气工程及其自动化),652
0007,北京理工大学,06,工科试验班(信息科学技术)(自动化、电气工程及其自动化、机器人工程、计算机科学与技术、软件工程、人工智能、数据科学与大数据技术、网络空间安全、密码科学与技术、信息对抗技术),651
0025,首都医科大学,08,口腔医学,651
0026,北京中医药大学,02,中西医临床医学(华佗班),651
0034,中央财经大学,17,大数据管理与应用(许国志大数据英才班),651
0053,中国政法大学,04,法学(涉外法治人才培养实验班),651
0269,华东师范大学,78,统计学,651
0269,华东师范大学,79,物理学,651
0486,武汉大学,G1,电子信息类(含卓越工程师教育培养计划)(电子信息工程、通信工程、电波传播与天线、电子信息科学与技术、测控技术与仪器、光电信息科学与工程),651
0486,武汉大学,G4,遥感科学与技术,651
0699,西北工业大学,07,航空航天类(黄玉珊航空班)(飞行器设计与工程),651
8213,哈尔滨工业大学(深圳),03,机械类(机械设计制造及其自动化),651
8213,哈尔滨工业大学(深圳),12,工商管理类[会计学(大数据会计)],651
0007,北京理工大学,07,工科试验班(电子信息实验班)(光电信息科学与工程、测控技术与仪器、智能感知工程、电子信息工程、电子科学与技术、通信工程、微电子科学与工程),650
0027,北京师范大学,1Q,社会科学试验班[经济学(励耘实验班)、工商管理(数字企业管理实验班)、金融学、金融科技、会计学、国际经济与贸易、法学(卓越实验班)、社会学、人力资源管理、公共事业管理],650
0034,中央财经大学,10,统计学类[经济统计学、统计学、应用统计学、数据科学与大数据技术、统计学(统计学、金融学双学位项目)],650
0036,对外经济贸易大学,08,金融科技,650
0055,南开大学,10,经济学类(经济学、国际经济与贸易、财政学、商务经济学、数字经济),650
0272,上海财经大学,0P,数据科学与大数据技术(工学),650
0286,东南大学,0A,建筑类(建筑学、城乡规划、风景园林),650
0422,山东大学,44,临床医学(本博连读，齐鲁医学堂),650
0486,武汉大学,C8,信息管理与信息系统,650
0487,华中科技大学,04,机械类[机械设计制造及其自动化(智能制造、先进电子制造、机器人)、工业工程、测控技术与仪器],650
0533,中南大学,92,口腔医学(5+3一体化),650
0698,西安交通大学,3A,工科试验班(智能电气与信息类)(计算机科学与技术、自动化、电气工程及其自动化、电子科学与技术、微电子科学与工程、信息工程、软件工程、物联网工程、生物医学工程、网络空间安全、测控技术与仪器、能源互联网工程),650
0007,北京理工大学,05,工科试验班(智能制造与智能车辆精英班)[车辆工程、装甲车辆工程、能源与动力工程、机械工程、工业工程、智能制造工程、能源与动力工程(含管理双学位)],649
0036,对外经济贸易大学,32,金融数学,649
0272,上海财经大学,0V,数学类(信息与计算科学、数学与应用数学),649
0286,东南大学,0K,生物医学工程(学制七年本硕连读),649
0486,武汉大学,B4,物理学类(含物理学国家拔尖学生培养基地)(物理学、微电子科学与工程),649
0486,武汉大学,B6,生物科学类(含生物国家拔尖学生培养基地)(生物科学、生物技术),649
0614,电子科技大学,B1,电子信息类(信息与通信)(通信工程、电子信息工程、网络工程、物联网工程、信息对抗技术),649
0614,电子科技大学,B6,物联网工程(互联网交叉复合型精英人才双学位培养计划),649
0699,西北工业大学,04,计算机类(本研衔接班)(人工智能、计算机科学与技术、电子信息工程、自动化),649
J002,国防科技大学,01,计算机类[计算机科学与技术(计算机系统方向)、计算机科学与技术(并行计算方向)、计算机科学与技术(大数据方向)、软件工程、网络工程、信息安全],649
0272,上海财经大学,0B,经济学(中外合作办学)(数量经济),648
0487,华中科技大学,06,能源动力类(能源与动力工程、新能源科学与工程、储能科学与工程),648
0487,华中科技大学,3G,临床医学类(临床医学、口腔医学、儿科学、医学影像学),648
0698,西安交通大学,3D,会计学(ACCA),648
0013,北京邮电大学,05,计算机类(计算机科学与技术、网络工程、数据科学与大数据技术),647
0027,北京师范大学,1T,理科试验班[化学、生物科学类、环境科学与工程类、心理学、地理科学类、资源环境科学、化学(励耘实验班)、生物科学(励耘实验班)],647
0034,中央财经大学,06,工商管理类(会计学院)(会计学、财务管理),647
0036,对外经济贸易大学,01,金融学类[金融学、金融学(国际金融与市场)、经济与金融、投资学、保险学],647
0055,南开大学,12,临床医学(5+3一体化),647
0055,南开大学,21,工科试验班(信息科学与技术)(电子信息科学与技术、电子科学与技术、通信工程、微电子科学与工程、光电信息科学与工程、计算机科学与技术、信息安全、物联网工程、密码科学与技术、自动化、智能科学与技术、软件工程),647
0213,哈尔滨工业大学,09,工科试验班(计算机与电子通信)(通信工程、电磁场与无线技术、电子信息工程、遥感科学与技术、信息对抗技术、计算机科学与技术、信息安全、物联网工程、人工智能、数据科学与大数据技术、软件工程、智能测控工程、网络空间安全),647
0422,山东大学,26,临床医学(5+3一体化),647
0486,武汉大学,A7,工商管理类[工程管理、物流管理(供应链运营试验班)、工商管理、市场营销、会计学、财务管理、人力资源管理、管理科学],647
0558,中山大学,07,经济学类(广州)(经济学、金融学),647
0558,中山大学,0K,数学类(广州)(数学与应用数学、统计学),647
0558,中山大学,0W,计算机类(广州)(计算机科学与技术、信息与计算科学、保密管理),647
0561,华南理工大学,16,信息工程(创新班),647
0614,电子科技大学,B2,工科试验班(电子工程类)(电子科学与技术、微电子科学与工程、电磁场与无线技术、电波传播与天线),647
0614,电子科技大学,B3,计算机类(计算机科学与技术、人工智能、数据科学与大数据技术、网络空间安全、数字媒体技术),647
2121,南方医科大学,01,临床医学(本硕博连读),647
0034,中央财经大学,14,经济学类(经济学、国民经济管理),646
0036,对外经济贸易大学,02,经济学类(国际经济与贸易、财政学、税收学),646
0053,中国政法大学,02,法学,646
0159,中国医科大学,06,临床医学(红医班),646
0247,同济大学,11,机械类(中外合作办学)[机械电子工程(中外合作办学)、建筑电气与智能化(中外合作办学)、汽车服务工程(中外合作办学)],646
0269,华东师范大学,84,软件工程,646
0269,华东师范大学,89,化学,646
0286,东南大学,0H,理科试验班(密码科学与技术、数学与应用数学、信息与计算科学、统计学、物理学、应用物理学、工程力学),646
0422,山东大学,28,口腔医学(5+3一体化),646
0486,武汉大学,G3,测绘类(含卓越工程师教育培养计划)(测绘工程、导航工程),646
0486,武汉大学,K7,工科试验班(B含卓越工程师教育培养计划)[电气工程及其自动化、智能制造工程、智能建造、储能科学与工程、机械设计制造及其自动化、自动化、水利水电工程、能源与动力工程、水文与水资源工程(含碳中和试验班)],646
0561,华南理工大学,43,计算机类(计算机科学与技术、网络工程、信息安全),646
0698,西安交通大学,3B,工科试验班(智慧能源与智能制造类)(能源与动力工程、新能源科学与工程、核工程与核技术、环境工程、人居环境科学与技术、化学工程与工艺、过程装备与控制工程、机械工程、智能制造工程、工业设计、车辆工程、测控技术与仪器、飞行器设计与工程、材料科学与工程、工程力学、飞行器动力工程),646
0699,西北工业大学,18,计算机类(计算机科学与技术、数据科学与大数据技术、人工智能、物联网工程),646
J002,国防科技大学,09,理论与应用力学(航天力学拔尖班),646
0034,中央财经大学,02,财政学类[财政学、税收学、资产评估、财政学(财政基础理论基地班)],645
0034,中央财经大学,35,财政学(财政理论与政策),645
0036,对外经济贸易大学,33,经济统计学,645
0055,南开大学,17,工商管理类[工商管理、人力资源管理、财务管理、会计学、会计学(国际会计)、市场营销、信息管理与信息系统、工业工程、物流管理、图书馆学、档案学、旅游管理、会展经济与管理],645
0213,哈尔滨工业大学,08,工科试验班(航天与自动化)[复合材料与工程、飞行器设计与工程、飞行器环境与生命保障工程、空间科学与技术、光电信息科学与工程(光学工程)、电子科学与技术、微电子科学与工程、自动化、探测制导与控制技术、智能装备与系统、电气工程及其自动化、建筑电气与智能化、智能材料与结构],645
0269,华东师范大学,62,工商管理类(工商管理、会计学、旅游管理),645
0269,华东师范大学,77,统计学类(统计学、金融工程、保险学),645
0269,华东师范大学,92,地理科学,645
0272,上海财经大学,09,工商管理类[工商管理(商务分析)、工商管理(战略与创新创业)、人力资源管理、市场营销],645
0286,东南大学,0B,工科试验班(碳中和与智能制造实验班)(自动化、机器人工程、电气工程及其自动化、智能感知工程、测控技术与仪器、机械工程、新能源科学与工程、能源与动力工程、建筑环境与能源应用工程、核工程与核技术、环境工程),645
0422,山东大学,10,数学类(数学与应用数学、信息与计算科学、统计学),645
0487,华中科技大学,05,材料类[材料成型及控制工程(3D打印、智能成型)、材料科学与工程(智能材料、新能源)],645
0487,华中科技大学,0H,生物医学工程类(国家生命科学与技术人才试验班)(生物医学工程、生物信息学),645
0487,华中科技大学,17,经济学类[经济学(实验班)、经济统计学、国际经济与贸易、金融学、金融工程],645
0558,中山大学,0V,电子信息类(广州)(通信工程、微电子科学与工程、光电信息科学与工程),645
0558,中山大学,10,临床医学(广州),645
0558,中山大学,13,口腔医学,645
0610,四川大学,34,数学与应用数学(基地班),645
0614,电子科技大学,C1,工科试验班(机器人、电气信息、智能制造)(机器人工程、电气工程及其自动化、机械设计制造及其自动化、智能电网信息工程、工业工程),645
0614,电子科技大学,C2,电子信息类(光电集成与光网络)(光电信息科学与工程、信息工程、光源与照明),645
0614,电子科技大学,C3,电子信息类(电子信息与物理科学复合培养)(电子信息科学与技术、应用物理学),645
0698,西安交通大学,3C,工科试验班(经管类)(大数据管理与应用、工商管理、行政管理、劳动与社会保障、工业工程、经济学、财政学、金融学、国际经济与贸易、贸易经济、金融工程、经济统计学、电子商务),645
0013,北京邮电大学,03,通信工程(大类招生),644
0025,首都医科大学,03,儿科学(5+3一体化),644
0025,首都医科大学,05,临床医学,644
0036,对外经济贸易大学,22,数据科学与大数据技术(含与保险学专业双学士学位项目),644
0055,南开大学,35,理科试验班类(物质科学与可持续发展)(生物科学、生物技术、药学、药物化学),644
0056,天津大学,12,工科试验班(智能与计算类)(人工智能、网络空间安全、计算机科学与技术、软件工程),644
0269,华东师范大学,60,金融学类(金融学、经济学),644
0269,华东师范大学,61,金融学,644
0276,华东政法大学,05,法学(国际经济法),644
0384,厦门大学,09,经济学类(金融学、金融工程、保险学、财政学、税收学、国际经济与贸易、国际商务、经济学、经济统计学),644
0384,厦门大学,19,数学类(含物理类)(数学与应用数学、统计学、信息与计算科学、物理学、天文学),644
0384,厦门大学,24,计算机类(计算机科学与技术、网络空间安全、人工智能、软件工程、数字媒体技术),644
0384,厦门大学,26,电子信息类(电子信息工程、集成电路设计与集成系统、微电子科学与工程、电子信息科学与技术、电磁场与无线技术、通信工程),644
0486,武汉大学,C7,理科试验班(空间信息与资源环境类)(地理信息科学、环境科学、地理科学、土地资源管理、环境工程),644
0486,武汉大学,K2,工科试验班(A智慧水电试验班)(水利水电工程),644
0487,华中科技大学,02,物理学类(物理学、应用物理学),644
